code,lat,lon,elev,state,name,x,y
USC00357675,44.1383,-118.975,1420.4,OR,SENECA,46,152
USC00357823,45.0058,-122.774,124.4,OR,SILVERTON,15,159
USC00358095,44.7892,-122.814,129.5,OR,STAYTON,15,157
USC00358173,42.9592,-120.79,1277.7,OR,SUMMER LAKE 1 S,31,142
USC00358466,45.1219,-122.07,341.4,OR,THREE LYNX,21,159
USC00358494,45.4583,-123.88,3,OR,TILLAMOOK 1 W,6,162
USC00358536,43.275,-122.45,627.9,OR,TOKETEE FALLS,18,145
USC00358746,45.2081,-117.876,842.8,OR,UNION EXP STN,54,160
USC00358884,45.8653,-123.19,190.5,OR,VERNONIA NO 2,12,165
USC00358997,45.5722,-117.531,890.9,OR,WALLOWA,57,163
USC00359316,43.6825,-121.688,1328.3,OR,WICKIUP DAM,24,148
USC00360140,40.495,-78.4667,402.3,PA,ALTOONA 3 W,370,122
USC00360656,39.9356,-77.2578,219.5,PA,BIGLERVILLE,379,118
USC00361212,41.6517,-76.8464,347.5,PA,CANTON,383,132
USC00361350,39.8508,-79.5833,603.5,PA,CHALK HILL 2 ENE,361,117
USC00361354,39.9353,-77.6394,195.1,PA,CHAMBERSBURG 1 ESE,376,118
USC00361485,41.1922,-79.4361,317,PA,CLARION 3 SW,362,128
USC00361705,39.7994,-79.3664,454.2,PA,CONFLUENCE 1 SW DAM,363,117
USC00362190,40.1636,-79.8694,232.3,PA,DONORA 1 SW,359,120
USC00362470,40.4681,-78.7289,591.3,PA,EBENSBURG SEWAGE PLT,368,122
USC00362629,41.5067,-78.2275,317,PA,EMPORIUM,372,131
USC00363028,41.4003,-79.8303,309.4,PA,FRANKLIN,359,130
USC00363758,41.4764,-75.1653,271.3,PA,HAWLEY 1 E,396,130
USC00364214,40.5969,-79.1183,335.9,PA,INDIANA 3 SE,365,123
USC00364325,41.5,-80.4667,317,PA,JAMESTOWN 2 NW,354,131
USC00364432,41.6767,-78.8036,533.4,PA,KANE 1NNE,367,132
USC00364763,40.05,-76.2742,82.3,PA,LANCASTER 2NE FLTR PLT,387,119
USC00364778,40.1167,-76.4333,109.7,PA,LANDISVILLE 2 NW,386,119
USC00364896,40.3333,-76.4667,137.2,PA,LEBANON 2 W,386,121
USC00364992,40.5864,-77.5692,140.2,PA,LEWISTOWN,377,123
USC00365109,41.1167,-77.45,172.5,PA,LOCK HAVEN SWG PLT,378,127
USC00365390,39.8253,-75.4283,3,PA,MARCUS HOOK,394,117
USC00365902,40.65,-80.3833,210.3,PA,MONTGOMERY L&D,354,124
USC00366194,40.1358,-74.955,18.3,PA,NESHAMINY FALLS,398,120
